Name,Party,Riding,Province,Status,ElectionNum
"HENDERSON, Rose Mary Louise ",Labour,ST. LAWRENCE--ST. GEORGE,Quebec,0,14
"KIELY, Elizabeth Bethune ",Liberal,TORONTO EAST,Ontario,0,14
"MACPHAIL, Agnes Campbell ",Progressive,GREY SOUTHEAST,Ontario,1,14
"PRENTER, Harriet Dunlop ",Labour,TORONTO WEST,Ontario,0,14
"ADNEY, Minnie Bell ",Independent,VICTORIA--CARLETON,New Brunswick,0,15
"BROWN, Caroline Sophia ",Independent Conservative,TORONTO NORTHWEST,Ontario,0,15
"HENDERSON, Rose Mary Louise ",Labour,NEW WESTMINSTER,British Columbia,0,15
"MACPHAIL, Agnes C. ",Progressive,GREY SOUTHEAST,Ontario,1,15
"BENNETT, Kathleen ",Liberal,TORONTO EAST,Ontario,0,16
"MACPHAIL, Agnes Campbell ",Progressive,GREY SOUTHEAST,Ontario,1,16
"BRIGDEN, Beatrice Alice ",Labour,BRANDON,Manitoba,0,17
"ENGLAND, Grace Ritchie ",Liberal,MOUNT ROYAL,Quebec,0,17
"GREENWOOD, May Louise ",Liberal,LINCOLN,Ontario,0,17
"HOLLIS, Annie L. ",Farmer,MAPLE CREEK,Saskatchewan,0,17
"KENNEDY, Glencora ",Liberal,ESSEX WEST,Ontario,0,17
"LOW, Mildred Amelia ",Independent Conservative,LANARK,Ontario,0,17
"MACDONALD, Edith Kerr ",Independent,NORTHUMBERLAND,Ontario,0,17
"MACPHAIL, Agnes Campbell ",Progressive,GREY SOUTHEAST,Ontario,1,17
"MCNEAL, Ida Elizabeth ",Farmer,LONG LAKE,Saskatchewan,0,17
"SAINT-JEAN, Idola ",Independent,ST. DENIS,Quebec,0,17
"BLACK, Martha Louise ",Independent Conservative,YUKON,Yukon,1,18
"CRAWFORD, Mary R. ",Co-operative Commonwealth Federation,EDMONTON WEST,Alberta,0,18
"DIXON, Shirley G. ",Liberal,ST. ANTOINE--WESTMOUNT,Quebec,0,18
"FISH, Frances Lilian ",Reconstruction Party,NORTHUMBERLAND,New Brunswick,0,18
"GENDRON, Emma ",Independent,ST. JAMES,Quebec,0,18
"HENDERSON, Nora Frances ",Reconstruction Party,HAMILTON WEST,Ontario,0,18
"HENDERSON, Rose ",Co-operative Commonwealth Federation,PARKDALE,Ontario,0,18
"LUCAS, Louise ",Co-operative Commonwealth Federation,THE BATTLEFORDS,Saskatchewan,0,18
"MACPHAIL, Agnes C. ",United Farmers of Ontario-Labour,GREY--BRUCE,Ontario,1,18
"MAHON, Lilette Julia Caroline ",Reconstruction Party,VANCOUVER CENTRE,British Columbia,0,18
"NELSON, Eva ",Reconstruction Party,LISGAR,Manitoba,0,18
"PATTERSON, Edith ",Co-operative Commonwealth Federation,CALGARY EAST,Alberta,0,18
"POPE, Dorothy C. ",Co-operative Commonwealth Federation,MELFORT,Saskatchewan,0,18
"REID, Minerva Ellen ",Reconstruction Party,HIGH PARK,Ontario,0,18
"THOMAS, Lorna Cotton ",Co-operative Commonwealth Federation,PETERBOROUGH WEST,Ontario,0,18
"WHYTE, Olive Jane ",Co-operative Commonwealth Federation,ESSEX WEST,Ontario,0,18
"ADAMS, Ruby Beryl Joan ",Independent,VERDUN,Quebec,0,19
"CRAWFORD, Mary R. ",Co-operative Commonwealth Federation,EDMONTON WEST,Alberta,0,19
"DYMOND, Norah ",Co-operative Commonwealth Federation,ROSEDALE,Ontario,0,19
"LUCAS, Louise ",Co-operative Commonwealth Federation,MELVILLE,Saskatchewan,0,19
"MACNAB, Margaret ",Co-operative Commonwealth Federation,KAMLOOPS,British Columbia,0,19
"MACPHAIL, Agnes Campbell ",United Farmers of Ontario-Labour,GREY--BRUCE,Ontario,0,19
"MCBRIDE, Ruth House ",Co-operative Commonwealth Federation,MACLEOD,Alberta,0,19
"NIELSEN, Dorise W. ",Unity,NORTH BATTLEFORD,Saskatchewan,1,19
"WILKINSON, Rose ",New Democracy,CALGARY WEST,Alberta,0,19
"BEGG, Genevieve Ethel ",Progressive Conservative,SWIFT CURRENT,Saskatchewan,0,20
"CASSELMAN, Cora T. ",Liberal,EDMONTON EAST,Alberta,0,20
"COOPER, Minerva Vivian ",Labor-Progressive Party,VANCOUVER--BURRARD,British Columbia,0,20
"CRAWFORD, Mary R. ",Co-operative Commonwealth Federation,EDMONTON WEST,Alberta,0,20
"FERNEYHOUGH, Beatrice ",Labor-Progressive Party,ATHABASKA,Alberta,0,20
"GEHL, Susanna Josephine ",Labor-Progressive Party,SASKATOON CITY,Saskatchewan,0,20
"GILL, Marie-Ange ",Co-operative Commonwealth Federation,MERCIER,Quebec,0,20
"GRACE, Beulah Devlin ",Social Credit Party of Canada,ST. ANN,Quebec,0,20
"HUGHTON, Bessie Howard ",Progressive Conservative,HAMILTON EAST,Ontario,0,20
"HUNTER, Mary ",Labor-Progressive Party,EDMONTON WEST,Alberta,0,20
"JOHNSTON, Pearl ",Social Credit Party of Canada,KINDERSLEY,Saskatchewan,0,20
"MORRIS, Kay Montague ",Co-operative Commonwealth Federation,SPADINA,Ontario,0,20
"NIELSEN, Dorise W. ",Labor-Progressive Party,NORTH BATTLEFORD,Saskatchewan,0,20
"PARTRIDGE, Gertrude ",Labor-Progressive Party,OUTREMONT,Quebec,0,20
"PETERSON, Nellie ",Co-operative Commonwealth Federation,JASPER--EDSON,Alberta,0,20
"STRUM, Gladys ",Co-operative Commonwealth Federation,QU'APPELLE,Saskatchewan,1,20
"THEODORE, Florence ",Labor-Progressive Party,REGINA CITY,Saskatchewan,0,20
"THOMAS, Lorna Cotton ",Co-operative Commonwealth Federation,PETERBOROUGH WEST,Ontario,0,20
"TRUAX, Beryl ",Labor-Progressive Party,MOUNT ROYAL,Quebec,0,20
"BRUNET, Cécile ",Union of Electors,HULL,Quebec,0,21
"FAIRCLOUGH, Ellen L. ",Progressive Conservative,HAMILTON WEST,Ontario,0,21
"KEATING, Bessie ",Co-operative Commonwealth Federation,MARQUETTE,Manitoba,0,21
"MACINNIS, Grace ",Co-operative Commonwealth Federation,VANCOUVER SOUTH,British Columbia,0,21
"MARCHILDON, Marguerite ",Union of Electors,SIMCOE EAST,Ontario,0,21
"RADFORD, Ruth ",Liberal,BROADVIEW,Ontario,0,21
"SMILEY, Leila Elsie ",Progressive Conservative,MOOSE JAW,Saskatchewan,0,21
"SPARKES, Grace Margaret ",Progressive Conservative,BURIN--BURGEO,Newfoundland and Labrador,0,21
"STEEVES, Dorothy Gretchen ",Co-operative Commonwealth Federation,BURNABY--RICHMOND,British Columbia,0,21
"STRUM, Gladys ",Co-operative Commonwealth Federation,QU'APPELLE,Saskatchewan,0,21
"THÉORÊT, Jeannine ",Co-operative Commonwealth Federation,ST. LAWRENCE--ST. GEORGE,Quebec,0,21
"AITKEN, Margaret ",Progressive Conservative,YORK--HUMBER,Ontario,1,22
"BELANGER, Matilda Hall ",Labor-Progressive Party,KOOTENAY WEST,British Columbia,0,22
"BENNETT, Sybil ",Progressive Conservative,HALTON,Ontario,1,22
"BERGERON, Gisèle ",Co-operative Commonwealth Federation,SAINT-ANTOINE--WESTMOUNT,Quebec,0,22
"BOURGET, Yvonne ",Labor-Progressive Party,LONGUEUIL,Quebec,0,22
"BROWN, Buda ",Progressive Conservative,VANCOUVER--BURRARD,British Columbia,0,22
"BRUNELLE, Jeannette ",Labor-Progressive Party,LAURIER,Quebec,0,22
"CAMPBELL, May ",Co-operative Commonwealth Federation,VICTORIA,British Columbia,0,22
"CASGRAIN, Thérèse ",Co-operative Commonwealth Federation,JACQUES-CARTIER--LASALLE,Quebec,0,22
"CLARK, Janet M. ",Labor-Progressive Party,ROSEDALE,Ontario,0,22
"CLARKE, Phyllis ",Labor-Progressive Party,PRINCE ALBERT,Saskatchewan,0,22
"CRYDERMAN, Hilda Luella ",Liberal,OKANAGAN--REVELSTOKE,British Columbia,0,22
"DIONNE, Gabrielle ",Labor-Progressive Party,LAFONTAINE,Quebec,0,22
"EIZNER, Anne ",Labor-Progressive Party,OUTREMONT--ST-JEAN,Quebec,0,22
"ELLIOTT, Lorna Ellen ",Co-operative Commonwealth Federation,GREY NORTH,Ontario,0,22
"FAGAN, Ethel B. ",Social Credit Party of Canada,HAMILTON SOUTH,Ontario,0,22
"FAIRCLOUGH, Ellen Louks ",Progressive Conservative,HAMILTON WEST,Ontario,1,22
"FERGUSON, Margery ",Labor-Progressive Party,YORK EAST,Ontario,0,22
"GEENS, Peggy ",Co-operative Commonwealth Federation,WATERLOO SOUTH,Ontario,0,22
"GURALNICK, Annie Buller ",Labor-Progressive Party,ST. PAUL'S,Ontario,0,22
"HARVEY, Louise Joslyn ",Labor-Progressive Party,SAINT-ANTOINE--WESTMOUNT,Quebec,0,22
"JANZEN, Elizabeth ",Progressive Conservative,WATERLOO NORTH,Ontario,0,22
"JOHNSON, Dorothy Jessie ",Labor-Progressive Party,BRANDON--SOURIS,Manitoba,0,22
"JOHNSTON, Lorraine ",Progressive Conservative,VANCOUVER SOUTH,British Columbia,0,22
"LECLERC, Germaine ",Labor-Progressive Party,PAPINEAU,Quebec,0,22
"LEIGH, Ethel ",Labor-Progressive Party,JACQUES-CARTIER--LASALLE,Quebec,0,22
"LELIÈVRE, Rose-Anne ",Independent Liberal,GASPÉ,Quebec,0,22
"LONGRIDGE, Josephine ",Labor-Progressive Party,CALGARY SOUTH,Alberta,0,22
"MARKS, Helen ",Labor-Progressive Party,NORFOLK,Ontario,0,22
"MCBRIEN, Irene ",Progressive Conservative,PARKDALE,Ontario,0,22
"MINARD, Ann ",Labor-Progressive Party,SKEENA,British Columbia,0,22
"MORGAN, Janet H.H. ",Co-operative Commonwealth Federation,GATINEAU,Quebec,0,22
"MORGAN, Mona Laufey ",Labor-Progressive Party,VANCOUVER KINGSWAY,British Columbia,0,22
"NIELSEN, Dorise Winifred ",Labor-Progressive Party,BRANTFORD,Ontario,0,22
"PEMBERTON, Gwen ",Co-operative Commonwealth Federation,LONDON,Ontario,0,22
"POWELL, Naomi Mara ",Labor-Progressive Party,FORT WILLIAM,Ontario,0,22
"PROSSER, Jennie B. ",Co-operative Commonwealth Federation,YORK--HUMBER,Ontario,0,22
"ROSS, Romaine Kay ",Progressive Conservative,LINCOLN,Ontario,0,22
"RUNNALLS, Pearl ",Co-operative Commonwealth Federation,KINGSTON,Ontario,0,22
"SARMAN, Rose ",Labor-Progressive Party,RED DEER,Alberta,0,22
"SHIPLEY, Ann ",Liberal,TIMISKAMING,Ontario,1,22
"SOMERS, Inez ",Liberal,GREENWOOD,Ontario,0,22
"SPARKES, Grace Margaret ",Progressive Conservative,BURIN--BURGEO,Newfoundland and Labrador,0,22
"STOKES, Winnifred Margaret ",Progressive Conservative,NIAGARA FALLS,Ontario,0,22
"STRUM, Gladys Grace Mae ",Co-operative Commonwealth Federation,VANCOUVER--BURRARD,British Columbia,0,22
"WILLIAMS, Edna Juletta ",Labor-Progressive Party,MACKENZIE,Saskatchewan,0,22
"WILSON, Annie Louise ",Labor-Progressive Party,DANFORTH,Ontario,0,22
"AITKEN, Margaret ",Progressive Conservative,YORK--HUMBER,Ontario,1,23
"BLACKBURN, Eleanor ",Progressive Conservative,OTTAWA EAST,Ontario,0,23
"CARTER, Jo ",Co-operative Commonwealth Federation,KENORA--RAINY RIVER,Ontario,0,23
"CASGRAIN, Thérèse-F. ",Co-operative Commonwealth Federation,VILLENEUVE,Quebec,0,23
"COUTURE, Gisèle ",Co-operative Commonwealth Federation,LAVAL,Quebec,0,23
"CRYDERMAN, Hilda ",Liberal,OKANAGAN--REVELSTOKE,British Columbia,0,23
"CUREATZ, Dorothy ",Social Credit Party of Canada,SPADINA,Ontario,0,23
"FAGAN, Ethel Bertha ",Social Credit Party of Canada,HAMILTON EAST,Ontario,0,23
"FAIRCLOUGH, Ellen Louks ",Progressive Conservative,HAMILTON WEST,Ontario,1,23
"FINGARSON, Evelyn M. ",Social Credit Party of Canada,COAST-CAPILANO,British Columbia,0,23
"GRUBE, Gwenyth ",Co-operative Commonwealth Federation,EGLINTON,Ontario,0,23
"GURALNICK, Annie Buller ",Labor-Progressive Party,SPADINA,Ontario,0,23
"HARRIS, Minnie ",Co-operative Commonwealth Federation,JASPER--EDSON,Alberta,0,23
"KOEHLER, Ethel Kleinknecht ",Social Credit Party of Canada,WATERLOO NORTH,Ontario,0,23
"MACINNIS, Muriel Alice ",Co-operative Commonwealth Federation,PRINCE,Prince Edward Island,0,23
"MACLEAN, Una ",Liberal,CALGARY NORTH,Alberta,0,23
"MCGIBBON, Ethel M. ",Independent Liberal,ARGENTEUIL--DEUX-MONTAGNES,Quebec,0,23
"MCLELLAN, Margaret ",Co-operative Commonwealth Federation,BRANTFORD,Ontario,0,23
"PATMORE, Henriette ",Social Credit Party of Canada,ROSETOWN--BIGGAR,Saskatchewan,0,23
"PEMBERTON, Gwen ",Co-operative Commonwealth Federation,LONDON,Ontario,0,23
"SARK, Rose ",Co-operative Commonwealth Federation,YORK WEST,Ontario,0,23
"SHAW, Ethel T. ",Progressive Conservative,OTTAWA WEST,Ontario,0,23
