"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
3148,"CARDIN, Pierre Joseph Arthur",1,"1945-06-11",11,76.18,"Ind.",1
3470,"POWER, Charles Gavan",1,"1953-08-10",9,74.86,"Lib",1
3717,"CASSELMAN, A.",1,"1958-03-31",10,69.16,"P.C.",1
3725,"SENN, Mark Cecil",1,"1945-06-11",6,54.14,"P.C.",1
3816,"CHURCH, Thomas Langton",1,"1949-06-27",4,37.89,"P.C.",1
3832,"HARRIS, Joseph H.",1,"1949-06-27",7,42.25,"P.C.",1
3935,"POULIOT, Jean Francois",1,"1953-08-10",8,57.86,"Lib",1
4017,"STIRLING, Grote",1,"1945-06-11",6,39.21,"P.C.",1
4130,"ROWE, W. Earl",1,"1962-06-18",11,53.72,"P.C.",1
4197,"BRADETTE, Joseph Arthur",1,"1949-06-27",5,47.2,"Lib",1
4237,"RAYMOND, Maxime",1,"1945-06-11",5,46.85,"Ind.",1
4271,"LACOMBE, Joseph Romeo Liguori",1,"1945-06-11",2,51.11,"Ind.",1
4402,"GLEN, James Allison",1,"1945-06-11",2,38.52,"Lib",1
4420,"EMMERSON, Henry Read",1,"1945-06-11",2,52.97,"Lib",1
4430,"ILSLEY, James Lorimer",1,"1945-06-11",4,55.68,"Lib",1
4438,"MACDONALD, W. Ross",1,"1949-06-27",3,53.53,"Lib",1
4620,"REID, Thom",1,"1949-06-27",4,42.42,"Lib",1
4622,"MACKENZIE, Ian Alistair",1,"1945-06-11",3,29.76,"Lib",1
4624,"MACINNIS, Angus",1,"1953-08-10",5,46.18,"CCF",1
4760,"GRANT, Thomas Vincent",1,"1945-06-11",2,50.3,"Lib",1
4780,"FOURNIER, Alphonse",1,"1949-06-27",4,65.53,"Lib",1
4800,"DUBOIS, Lucien",1,"1945-06-11",3,51.19,"Ind.",1
4877,"JEAN, Joseph",1,"1949-06-27",4,64.52,"Lib",1
4881,"GOLDING, William Henry",1,"1945-06-11",3,50.55,"Lib",1
4901,"QUELCH, Victor",1,"1957-06-10",5,52.94,"Ind.",1
4908,"FAIR, Robert",1,"1953-08-10",4,50.65,"Ind.",1
4920,"MARSHALL, James Alexander",1,"1945-06-11",2,46.06,"Ind.",1
4928,"MACKINNON, James A.",1,"1945-06-11",2,33.23,"Lib",1
4952,"JAQUES, Norman",1,"1945-06-11",2,39.8,"Ind.",1
4971,"HERRIDGE, Herbert W.",1,"1965-11-08",7,39.09,"N.D.P.",1
5005,"MATTHEWS, James Ewen",1,"1949-06-27",3,55.27,"Lib",1
5010,"WINKLER, Howard Waldemar",1,"1949-06-27",3,56.23,"Lib",1
5022,"LEADER, Harry",1,"1945-06-11",2,44.69,"Lib",1
5049,"MUTCH, Leslie Alexander",1,"1949-06-27",3,47.83,"Lib",1
5054,"MAYBANK, Ralph",1,"1949-06-27",3,54.68,"Lib",1
5055,"KNOWLES, Stanley",1,"1980-02-18",7,57,"N.D.P.",1
5068,"BROOKS, Alfred J.",1,"1958-03-31",6,59.85,"P.C.",1
5092,"ISNOR, Gordon B.",1,"1949-06-27",3,29.33,"Lib",1
5106,"FARQUHAR, Thomas",1,"1945-06-11",2,48.88,"Lib",1
5145,"MARTIN, Paul",1,"1965-11-08",9,63.78,"Lib",1
5148,"CLARK, Stuart Murray",1,"1953-08-10",4,58.87,"Lib",1
5153,"MCIVOR, Dan",1,"1957-06-10",5,38.21,"Lib",1
5161,"MASSEY, Denton",1,"1945-06-11",2,48.86,"P.C.",1
5172,"CLEAVER, Hughes",1,"1949-06-27",3,49.02,"Lib",1
5204,"LOCKHART, Norman J.",1,"1945-06-11",2,48.32,"P.C.",1
5247,"GRAYDON, Gordon",1,"1953-08-10",4,53.29,"P.C.",1
5263,"TUSTIN, George James",1,"1953-08-10",4,53.69,"P.C.",1
5287,"ROSS, Douglas Gooderham",1,"1945-06-11",2,40.68,"P.C.",1
5291,"CHEVRIER, Lionel",1,"1963-04-08",8,44.86,"Lib",1
5293,"LITTLE, Walter",1,"1949-06-27",3,40.61,"Lib",1
5311,"GLADSTONE, Robert W.",1,"1945-06-11",2,45.19,"Lib",1
5315,"LENNARD, Frank Exton",1,"1958-03-31",4,65.53,"P.C.",1
5351,"BRUNELLE, Herve Edgar",1,"1945-06-11",2,53.24,"Lib",1
5357,"BLACK, Donald E.",1,"1949-06-27",3,58.69,"Lib",1
5361,"TREMBLAY, Leonard David",1,"1949-06-27",3,47.29,"Lib",1
5378,"LALONDE, Maurice",1,"1945-06-11",2,53.25,"Lib",1
