"id","number","sponsor_politician_id","parliament_number","privatemember","passed"
801,"C-420",55,38,True,0
901,"C-480",119,37,True,0
902,"C-481",119,37,True,0
904,"C-483",119,37,True,0
905,"C-484",119,37,True,0
723,"C-341",296,37,True,0
604,"C-214",131,37,True,0
948,"C-527",144,37,True,0
493,"C-479",185,37,True,0
885,"C-35",72,37,False,0
869,"C-19",1951,37,False,0
729,"C-347",3127,37,True,0
730,"C-348",285,37,True,0
158,"C-2",4434,37,False,0
732,"C-350",2913,37,True,0
733,"C-351",270,37,True,0
204,"C-48",4533,37,False,0
734,"C-352",284,37,True,0
735,"C-353",185,37,True,0
736,"C-354",271,37,True,0
737,"C-355",271,37,True,0
712,"C-329",80,37,True,0
713,"C-330",43,37,True,0
262,"C-245",25,37,True,0
346,"C-331",183,37,True,0
261,"C-244",25,37,True,0
717,"C-335",284,37,True,0
715,"C-333",183,37,True,0
716,"C-334",2913,37,True,0
718,"C-336",152,37,True,0
719,"C-337",2064,37,True,0
721,"C-339",198,37,True,0
722,"C-340",296,37,True,0
724,"C-342",30,37,True,0
726,"C-344",301,37,True,0
727,"C-345",3949,37,True,0
728,"C-346",3221,37,True,0
738,"C-356",5192,37,True,0
739,"C-357",5192,37,True,0
740,"C-358",5192,37,True,0
741,"C-359",5192,37,True,0
774,"C-392",2111,37,True,0
775,"C-393",216,37,True,0
777,"C-395",4022,37,True,0
778,"C-396",3033,37,True,0
781,"C-399",3681,37,True,0
782,"C-400",3681,37,True,0
783,"C-401",35,37,True,0
784,"C-402",35,37,True,0
785,"C-403",35,37,True,0
786,"C-404",35,37,True,0
787,"C-405",2934,37,True,0
789,"C-407",58,37,True,0
790,"C-408",4697,37,True,0
791,"C-409",1677,37,True,0
792,"C-410",301,37,True,0
598,"C-208",276,37,True,0
794,"C-412",301,37,True,0
795,"C-413",3132,37,True,0
230,"C-213",3175,37,True,0
796,"C-414",7,37,True,0
7221,"C-417",192,37,True,0
799,"C-418",192,37,True,0
802,"C-421",2,37,True,0
804,"C-423",99,37,True,0
805,"C-424",208,37,True,0
843,"C-462",4405,37,True,0
806,"C-425",2913,37,True,0
915,"C-494",2684,37,True,0
911,"C-490",131,37,True,0
807,"C-426",266,37,True,0
808,"C-427",186,37,True,0
355,"C-340",128,37,True,0
916,"C-495",4458,37,True,0
809,"C-428",186,37,True,0
811,"C-430",216,37,True,0
632,"C-249",197,37,True,0
813,"C-432",216,37,True,0
814,"C-433",3102,37,True,0
815,"C-434",2913,37,True,0
816,"C-435",305,37,True,0
817,"C-436",80,37,True,0
818,"C-437",276,37,True,0
303,"C-286",2913,37,True,0
819,"C-438",2934,37,True,0
820,"C-439",184,37,True,0
821,"C-440",119,37,True,0
822,"C-441",174,37,True,0
823,"C-442",208,37,True,0
824,"C-443",3127,37,True,0
825,"C-444",208,37,True,0
826,"C-445",279,37,True,0
827,"C-446",61,37,True,0
829,"C-448",4458,37,True,0
830,"C-449",3899,37,True,0
831,"C-450",2913,37,True,0
832,"C-451",41,37,True,0
833,"C-452",25,37,True,0
834,"C-453",3033,37,True,0
835,"C-454",266,37,True,0
836,"C-455",276,37,True,0
837,"C-456",271,37,True,0
838,"C-457",185,37,True,0
839,"C-458",301,37,True,0
842,"C-461",2934,37,True,0
565,"C-31",3204,37,False,0
844,"C-463",151,37,True,0
479,"C-464",3132,37,True,0
846,"C-466",177,37,True,0
847,"C-467",174,37,True,0
848,"C-468",277,37,True,0
849,"C-469",5161,37,True,0
850,"C-470",201,37,True,0
235,"C-218",276,37,True,0
851,"C-471",270,37,True,0
903,"C-482",119,37,True,0
906,"C-485",119,37,True,0
907,"C-486",3410,37,True,0
547,"C-13",1951,37,False,0
617,"C-227",273,37,True,0
910,"C-489",131,37,True,0
912,"C-491",131,37,True,0
913,"C-492",174,37,True,0
914,"C-493",113,37,True,0
229,"C-212",276,37,True,0
917,"C-496",266,37,True,0
918,"C-497",3410,37,True,0
919,"C-498",96,37,True,0
921,"C-500",3750,37,True,0
922,"C-501",301,37,True,0
923,"C-502",284,37,True,0
926,"C-505",96,37,True,0
927,"C-506",238,37,True,0
841,"C-460",197,37,True,0
928,"C-507",301,37,True,0
929,"C-508",3899,37,True,0
930,"C-509",80,37,True,0
931,"C-510",58,37,True,0
932,"C-511",220,37,True,0
347,"C-332",159,37,True,0
933,"C-512",132,37,True,0
461,"C-446",186,37,True,0
537,"C-2",4566,37,False,0
538,"C-3",4682,37,False,0
539,"C-4",4206,37,False,0
934,"C-513",3132,37,True,0
935,"C-514",192,37,True,0
936,"C-515",3831,37,True,0
492,"C-478",2934,37,True,0
937,"C-516",285,37,True,0
938,"C-517",185,37,True,0
939,"C-518",185,37,True,0
940,"C-519",25,37,True,0
487,"C-472",128,37,True,0
488,"C-474",2934,37,True,0
852,"C-2",247,37,False,0
542,"C-8",1951,37,False,0
941,"C-520",1010,37,True,0
944,"C-523",3121,37,True,0
945,"C-524",144,37,True,0
561,"C-27",4464,37,False,0
946,"C-525",301,37,True,0
950,"C-529",3866,37,True,0
231,"C-214",301,37,True,0
232,"C-215",3383,37,True,0
779,"C-397",269,37,True,0
883,"C-33",242,37,False,0
382,"C-367",4675,37,True,0
780,"C-398",299,37,True,0
7213,"C-10A",5142,37,False,0
220,"C-203",185,37,True,0
845,"C-465",29,37,True,0
441,"C-426",5338,37,True,0
876,"C-26",2182,37,False,0
406,"C-391",4405,37,True,0
548,"C-14",4501,37,False,0
563,"C-29",247,37,False,0
570,"C-36",4533,37,False,0
587,"C-53",3358,37,False,0
591,"C-57",4566,37,False,0
877,"C-27",2182,37,False,0
878,"C-28",3160,37,False,0
595,"C-205",3094,37,True,0
626,"C-243",3132,37,True,0
908,"C-487",128,37,True,0
593,"C-203",4405,37,True,0
860,"C-10",72,37,False,0
875,"C-25",68,37,False,0
879,"C-29",72,37,False,0
880,"C-30",121,37,False,0
882,"C-32",72,37,False,0
886,"C-36",2820,37,False,0
597,"C-207",276,37,True,0
887,"C-231",204,37,True,0
889,"C-233",186,37,True,0
890,"C-234",276,37,True,0
892,"C-236",5063,37,True,0
233,"C-216",301,37,True,0
714,"C-332",4136,37,True,0
776,"C-394",2934,37,True,0
810,"C-429",2913,37,True,0
893,"C-472",185,37,True,0
896,"C-475",3899,37,True,0
