"id","politician_id","riding_id","party_id","end_date","start_date"
4015,2693,70159,5,"2000-09-11","2000-04-02"
4016,2693,70159,4,"2001-01-28","2000-09-12"
4017,4136,59023,4,"2005-05-23","2002-01-28"
4018,4983,70116,5,"2004-05-23","2002-08-20"
4019,5258,70139,5,"2003-03-14","2003-01-16"
4020,3649,70120,4,"2004-05-23","2003-12-11"
4021,4405,70073,5,"2004-02-24","2004-02-17"
4022,4405,70073,1,"2004-05-23","2004-02-25"
4023,186,59008,5,"2004-05-23","2004-01-14"
4024,3425,35049,5,"2005-11-29","2004-11-19"
4025,2993,70004,5,"2005-11-29","2005-04-13"
4026,3410,35042,5,"2005-11-29","2005-06-06"
4027,3175,46003,5,"2005-11-29","2005-10-18"
4028,462,59036,9,"2008-09-07","2008-08-30"
4029,58,12007,1,"2007-06-05","2006-04-03"
2676,2693,70159,26,"2000-04-01","1997-09-22"
1774,2693,24016,4,"2004-05-23","2001-01-29"
4452,10335,62001,5,"","2016-06-01"
2710,252,24053,3,"2006-11-27","1997-09-22"
2552,2293,70074,4,"2004-05-23","1997-09-22"
1346,2293,35004,4,"2005-11-29","2004-10-04"
1458,3613,24006,3,"2005-11-29","2004-10-04"
3166,4478,35014,4,"2004-05-23","1994-01-17"
3319,5235,70251,4,"1997-04-27","1994-01-17"
2722,5235,24067,4,"2004-05-23","1997-09-22"
3331,6510,70257,28,"1997-04-27","1994-01-17"
2734,6510,47002,28,"2000-10-22","1997-09-22"
3172,4501,35022,4,"2004-05-23","1994-01-17"
4279,9087,70328,1,"2016-03-23","2015-10-19"
2712,842,24055,26,"2004-05-23","1997-09-22"
3280,7859,70123,3,"1997-04-27","1994-01-17"
3302,7971,70245,4,"1997-04-27","1994-01-17"
1592,3121,70054,25,"2004-05-23","2001-01-29"
3214,2502,35069,4,"2005-11-29","1994-01-17"
1627,2219,13010,4,"2005-11-29","2001-01-29"
2522,3217,70061,2,"2000-10-22","1997-09-22"
3103,5621,59030,4,"1997-04-27","1994-01-17"
3060,1951,70172,4,"1997-04-27","1994-01-17"
2460,1951,70041,4,"2004-05-23","1997-09-22"
1245,1951,48012,4,"2005-11-29","2004-10-04"
3291,5100,70161,3,"2000-10-22","1994-01-17"
1792,5100,70130,3,"2004-05-23","2001-01-29"
3245,4882,35103,4,"2004-05-23","1994-01-17"
3343,8188,60001,2,"1997-04-27","1994-01-17"
3230,7629,35077,4,"1997-04-27","1994-01-17"
3235,4830,70229,4,"1997-04-27","1994-01-17"
2638,4830,70102,4,"2004-05-23","1997-09-22"
3324,252,70252,3,"1997-04-27","1994-01-17"
3312,8021,70164,3,"1997-04-27","1994-01-17"
1490,2780,24038,3,"2005-11-29","2004-10-04"
3254,7761,70156,3,"1997-04-27","1994-01-17"
3295,7930,24039,3,"1997-04-27","1994-01-17"
3339,6548,47012,4,"1997-04-27","1994-01-17"
3200,7431,70221,4,"1997-04-27","1994-01-17"
3180,3383,35033,4,"2005-11-29","1994-01-17"
1392,3425,35049,4,"2004-11-18","2004-10-04"
2509,3175,46003,2,"2005-10-17","1997-09-22"
2532,190,70063,26,"2000-10-22","1997-09-22"
1629,190,70063,4,"2004-05-23","2001-01-29"
1327,190,10005,4,"2008-09-07","2004-10-04"
3135,7089,10004,4,"1997-04-27","1994-01-17"
3078,5526,70176,28,"1997-04-27","1994-01-17"
2483,5526,59014,28,"2000-10-22","1997-09-22"
3231,3532,70152,4,"2000-10-22","1994-01-17"
1731,3532,70100,4,"2004-05-23","2001-01-29"
3177,2367,35028,4,"1997-04-27","1994-01-17"
2577,2367,70081,4,"2004-05-23","1997-09-22"
3203,4655,70093,4,"2004-05-23","1994-01-17"
3185,4566,70086,4,"2004-05-23","1994-01-17"
3087,6811,59015,28,"1997-04-27","1994-01-17"
3136,5781,10006,4,"1997-04-27","1994-01-17"
3134,4324,10003,4,"1997-04-27","1994-01-17"
1628,4324,70062,4,"2004-05-23","2001-01-29"
2622,3500,35079,4,"2004-05-23","1997-09-22"
1790,3600,70128,4,"2004-05-23","2001-01-29"
3199,3425,70091,4,"1997-04-27","1994-01-17"
2596,3425,70089,4,"2004-05-23","1997-09-22"
3162,4458,35015,4,"2004-05-23","1994-01-17"
2537,5784,70065,26,"2000-10-22","1997-09-22"
3068,3017,48022,28,"2000-10-22","1994-01-17"
1564,3017,48022,25,"2004-05-23","2001-01-29"
1256,3017,48022,1,"2005-11-29","2004-10-04"
3336,2944,70261,2,"1997-04-27","1994-01-17"
2742,2944,47010,2,"2000-10-22","1997-09-22"
3639,3709,70130,4,"2004-05-23","2002-09-30"
1459,2664,70024,3,"2005-11-29","2004-10-04"
3204,6054,70094,4,"2000-10-22","1994-01-17"
2497,3132,59028,28,"2000-10-22","1997-09-22"
1595,3132,59028,25,"2004-05-23","2001-01-29"
1290,3132,59028,5,"2005-11-29","2004-10-04"
1805,3771,70031,4,"2004-05-23","2001-01-29"
2662,3608,24005,4,"2005-11-29","1997-09-22"
2528,3229,70146,4,"2000-10-22","1997-09-22"
1624,3229,13007,4,"2005-11-29","2001-01-29"
3074,5472,48028,28,"2000-10-22","1994-01-17"
3283,5063,70242,4,"1997-04-27","1994-01-17"
