"","pid","parliament_number","name","dob","gender","start_date","end_date","riding_name","province","party_name","speaking_words","num_bills_passed","num_bills_failed","election_number"
"1",6037,36,"Gib Parent","","M","1997-09-22","2000-10-22","Niagara Centre","ON","Lib",55,0,0,37
"2",2993,35,"David Kilgour","","M","1994-01-17","2004-05-23","Edmonton Southeast","AB","Lib",75,0,0,36
"3",4835,37,"Réginald Bélair","","M","1997-09-22","2004-05-23","Timmins--James Bay","ON","Lib",138,0,0,38
"4",5558,36,"Sharon Hayes","","F","1994-01-17","2000-10-22","Port Moody--Coquitlam","BC","Ref.",140,0,0,37
"5",183,40,"Inky Mark","1947-11-17","M","2006-04-03","2010-09-15","Dauphin--Swan River--Marquette","MB","C",149,0,0,41
"6",20,38,"Colleen Beaumier","1944-11-08","F","2004-10-04","2008-09-07","Brampton West","ON","Lib",198,0,0,39
"7",6037,35,"Gib Parent","","M","1994-01-17","1997-04-27","Welland--St. Catharines--Thorold","ON","Lib",227,0,0,36
"8",203,36,"Peter Milliken","1946-11-12","M","1994-01-17","2011-03-26","Kingston and the Islands","ON","Lib",264,0,0,37
"9",5412,36,"Ian McClelland","","M","1994-01-17","2000-10-22","Edmonton Southwest","AB","Ref.",285,0,0,37
"10",3229,38,"Claudette Bradshaw","","F","2001-01-29","2005-11-29","Moncton--Riverview--Dieppe","NB","Lib",287,0,0,39
"11",399,40,"André Arthur","1943-12-21","M","2006-04-03","2011-03-26","Portneuf--Jacques-Cartier","QC","Ind.",318,0,0,41
"12",8060,35,"Shirley Maheu","","F","1994-01-17","1997-04-27","Saint-Laurent--Cartierville","QC","Lib",398,0,0,36
"13",277,38,"Chuck Strahl","1957-02-25","M","2004-10-04","2011-03-26","Chilliwack--Fraser Canyon","BC","C",640,0,0,39
"14",238,38,"Marcel Proulx","1946-03-06","M","1999-10-12","2011-03-26","Hull--Aylmer","QC","Lib",860,0,0,39
"15",3132,38,"Chuck Cadman","","M","2004-10-04","2005-11-29","Surrey North","BC","Ind.",877,0,3,39
"16",3845,37,"Nick Discepola","","M","1997-09-22","2004-05-23","Vaudreuil--Soulanges","QC","Lib",877,0,0,38
"17",5282,37,"Raymond Lavigne","","M","2001-01-29","2002-09-16","Verdun--Saint-Henri--Saint-Paul--Pointe Saint-Charles","QC","Lib",886,0,0,38
"18",4332,37,"George Baker","","M","1994-01-17","2004-05-23","Gander--Grand Falls","NL","Lib",922,0,0,38
"19",3820,36,"Yolande Thibeault","","F","1997-09-22","2004-05-23","Saint-Lambert","QC","Lib",1350,0,0,37
"20",3532,37,"Bob Kilger","","M","2001-01-29","2004-05-23","Stormont--Dundas--Charlottenburgh","ON","Lib",1420,0,0,38
"21",176,38,"Lawrence MacAulay","1946-09-09","M","1994-01-17","","Cardigan","PE","Lib",1424,0,1,39
"22",395,38,"Todd Russell","1966-12-22","M","2004-10-04","2011-03-26","Labrador","NL","Lib",1483,0,0,39
"23",3425,38,"Carolyn Parrish","","F","2004-10-04","2004-11-18","Mississauga--Erindale","ON","Lib",1530,0,0,39
"24",127,38,"Albina Guarnieri","1953-06-23","F","2004-10-04","2011-03-26","Mississauga East--Cooksville","ON","Lib",1591,0,1,39
"25",4671,35,"Ivan Grose","","M","1994-01-17","2004-05-23","Oshawa","ON","Lib",1954,0,0,36
"26",2728,37,"Liza Frulla","","F","2001-01-29","2004-05-23","Verdun--Saint-Henri--Saint-Paul--Pointe Saint-Charles","QC","Lib",2036,0,0,38
"27",70,38,"Joe Comuzzi","1933-04-05","M","2001-01-29","2007-10-15","Thunder Bay--Superior North","ON","Lib",2316,0,0,39
"28",8361,40,"Julian Fantino","1942-08-13","M","2010-12-06","2015-10-19","Vaughan","ON","C",2319,0,0,41
"29",77,40,"John Cummins","1942-03-12","M","2004-10-04","2011-03-26","Delta--Richmond East","BC","C",2330,0,0,41
"30",548,39,"Rob Clarke","1967-03-02","M","2008-03-18","2015-10-19","Desnethé--Missinippi--Churchill River","SK","C",2439,0,0,40
"31",4671,36,"Ivan Grose","","M","1994-01-17","2004-05-23","Oshawa","ON","Lib",2448,0,0,37
"32",3097,38,"Darrel Stinson","","M","2004-10-04","2005-11-29","North Okanagan--Shuswap","BC","C",2491,0,0,39
"33",308,38,"Paul Zed","1956-12-31","M","2004-10-04","2008-09-07","Saint John","NB","Lib",2495,0,0,39
"34",4957,37,"Gilbert Normand","","M","1997-09-22","2004-05-23","Bellechasse--Etchemins--Montmagny--L'Islet","QC","Lib",2589,0,0,38
"35",61,38,"Brenda Chamberlain","1952-04-09","F","2004-10-04","2008-09-07","Guelph","ON","Lib",2641,0,1,39
"36",174,40,"Gary Lunn","1957-05-08","M","2004-10-04","2011-03-26","Saanich--Gulf Islands","BC","C",2721,0,0,41
"37",190,38,"Bill Matthews","1947-07-22","M","2004-10-04","2008-09-07","Random--Burin--St. George's","NL","Lib",2774,0,0,39
"38",4957,36,"Gilbert Normand","","M","1997-09-22","2004-05-23","Bellechasse--Etchemins--Montmagny--L'Islet","QC","Lib",2818,0,0,37
"39",6989,35,"Ron Fewchuk","","M","1994-01-17","1997-04-27","Selkirk--Red River","MB","Lib",2864,0,0,36
"40",4339,36,"Lawrence O'Brien","","M","1996-02-27","2005-11-29","Labrador","NL","Lib",2880,0,0,37
"41",183,39,"Inky Mark","1947-11-17","M","2006-04-03","2010-09-15","Dauphin--Swan River--Marquette","MB","C",3024,0,3,40
"42",4646,37,"Gary Pillitteri","","M","1994-01-17","2004-05-23","Niagara Falls","ON","Lib",3200,0,0,38
"43",70,36,"Joe Comuzzi","1933-04-05","M","1994-01-17","2000-10-22","Thunder Bay--Nipigon","ON","Lib",3228,0,0,37
"44",35,37,"Raymond Bonin","1942-11-20","M","2001-01-29","2008-09-07","Nickel Belt","ON","Lib",3240,0,8,38
"45",5831,35,"Harry Verran","","M","1994-01-17","1997-04-27","South West Nova","NS","Lib",3264,0,0,36
"46",35,36,"Raymond Bonin","1942-11-20","M","1994-01-17","2000-10-22","Nickel Belt","ON","Lib",3324,0,0,37
"47",27,38,"Maurizio Bevilacqua","1960-06-01","M","2004-10-04","2010-09-02","Vaughan","ON","Lib",3485,0,0,39
"48",150,35,"Jim Karygiannis","1955-05-02","M","1994-01-17","2014-04-01","Scarborough--Agincourt","ON","Lib",3615,0,0,36
"49",4255,37,"Ronald J. Duhamel","","M","1997-09-22","2002-09-16","Saint Boniface","MB","Lib",3655,0,0,38
"50",83,38,"Johanne Deschamps","1959-04-02","F","2004-10-04","2011-03-26","Laurentides--Labelle","QC","B.Q.",3784,0,0,39
"51",127,37,"Albina Guarnieri","1953-06-23","F","1994-01-17","2004-05-23","Mississauga East","ON","Lib",3835,0,0,38
"52",6106,37,"John Richardson","","M","1997-09-22","2004-05-23","Perth--Middlesex","ON","Lib",3939,0,0,38
"53",232,38,"Louis Plamondon","1943-07-31","M","2004-10-04","2005-11-29","Richelieu","QC","B.Q.",3964,0,0,39
"54",4671,37,"Ivan Grose","","M","1994-01-17","2004-05-23","Oshawa","ON","Lib",3980,0,0,38
"55",2584,37,"Tony Ianno","","M","1994-01-17","2005-11-29","Trinity--Spadina","ON","Lib",4012,0,0,38
"56",226,38,"Gilles-A. Perron","1940-12-10","M","2001-01-29","2008-09-07","Rivière-des-Mille-Îles","QC","B.Q.",4055,0,0,39
"57",50,35,"Gerry Byrne","1966-09-27","M","1996-02-27","2015-10-19","Humber--St. Barbe--Baie Verte","NL","Lib",4063,0,0,36
"58",5282,36,"Raymond Lavigne","","M","1997-09-22","2000-10-22","Verdun--Saint-Henri","QC","Lib",4157,0,0,37
"59",50,38,"Gerry Byrne","1966-09-27","M","1996-02-27","2015-10-19","Humber--St. Barbe--Baie Verte","NL","Lib",4206,0,0,39
"60",2522,38,"Roger Gallaway","","M","1994-01-17","2005-11-29","Sarnia--Lambton","ON","Lib",4212,0,1,39
"61",3355,38,"Jean Augustine","","F","1994-01-17","2005-11-29","Etobicoke--Lakeshore","ON","Lib",4275,0,0,39
"62",4339,35,"Lawrence O'Brien","","M","1996-02-27","2005-11-29","Labrador","NL","Lib",4400,0,0,36
"63",4655,37,"Bob Wood","","M","1994-01-17","2004-05-23","Nipissing","ON","Lib",4541,0,0,38
"64",3363,37,"Ovid Jackson","","M","2001-01-29","2004-05-23","Bruce--Grey--Owen Sound","ON","Lib",4604,0,0,38
"65",219,37,"Massimo Pacetti","1962-08-22","M","2001-01-29","2014-11-04","Saint-Léonard--Saint-Michel","QC","Lib",4654,0,1,38
"66",3383,38,"Beth Phinney","","F","1994-01-17","2005-11-29","Hamilton Mountain","ON","Lib",4729,0,0,39
"67",20,36,"Colleen Beaumier","1944-11-08","F","1997-09-22","2004-05-23","Brampton West--Mississauga","ON","Lib",4824,0,0,37
"68",2399,38,"Lynn Myers","","M","2004-10-04","2005-11-29","Kitchener--Conestoga","ON","Lib",5020,0,2,39
"69",62,36,"Raymond Chan","1951-10-25","M","1994-01-17","2000-10-22","Richmond","BC","Lib",5095,0,0,37
"70",8379,41,"Peter Penashue","","M","2011-05-02","2013-03-14","Labrador","NL","C",5096,0,0,42
