"id","name","slug","short_name"
32,"Abolitionist Party of Canada","","Abolitionist Party of Canada"
24,"Animal Alliance Environment Voters Party of Canada","","Animal Alliance Environment Voters Party of Canada"
30,"Canada Party","","Canada Party"
16,"Canadian Action Party","","Canadian Action Party"
10,"Christian Heritage Party of Canada","","Christian Heritage Party of Canada"
20,"Communist Party of Canada","","Communist Party of Canada"
17,"First Peoples National Party of Canada","","First Peoples National Party of Canada"
5,"Independent","IND","Independent"
15,"Libertarian Party of Canada","","Libertarian Party of Canada"
21,"Marijuana Party","","Marijuana Party"
19,"Marxist-Leninist Party","","Marxist-Leninist Party"
29,"National Party of Canada","","National Party of Canada"
27,"Natural Law Party of Canada","","Natural Law Party of Canada"
13,"Newfoundland and Labrador First Party","","Newfoundland and Labrador First Party"
33,"Parti Rhinocéros","","Parti Rhinocéros"
31,"Party for the Commonwealth of Canada","","Party for the Commonwealth of Canada"
18,"People's Political Power Party of Canada","","People's Political Power Party of Canada"
11,"Progressive Canadian Party","","Progressive Canadian Party"
22,"Western Block Party","","Western Block Party"
23,"Work Less Party","","Work Less Party"
14,"neorhino.ca","","neorhino.ca"
2,"New Democratic Party","NDP","NDP"
3,"Bloc Québécois","bloc","Bloc"
4,"Liberal Party of Canada","liberal","Liberal"
1,"Conservative Party of Canada","cpc","Conservative"
25,"Canadian Alliance","alliance","Canadian Alliance"
28,"Reform Party of Canada","reform","Reform"
26,"Progressive Conservative","pc","Progressive Conservative"
34,"Pirate Party of Canada","","Pirate Party of Canada"
35,"United Party of Canada","","United Party of Canada"
36,"Radical Marijuana Party","","Radical Marijuana"
9,"Green Party of Canada","green","Green"
37,"Online Party","","Online Party"
38,"Online Party of Canada","","Online Party of Canada"
39,"Forces et Démocratie","forces","Forces et Démocratie"
40,"Alliance du Nord","","Alliance du Nord"
41,"Democratic Advancement","","Democratic Advancement"
42,"The Bridge","","The Bridge"
43,"PACT","","PACT"
44,"Seniors Party","","Seniors Party"
