"id","name","name_given","name_family","dob","gender","headshot","slug"
7042,"A. David H. Bailie","A. David H.","Bailie","","","",""
7153,"A. James Donahue","A. James","Donahue","","","",""
8191,"A.B. Short Tompkins","A.B. Short","Tompkins","","","",""
7144,"A.R. Art Canning","A.R. Art","Canning","","","",""
7347,"Aaron G. De Meester","Aaron G.","De Meester","","","",""
6027,"Aaron Gervais","Aaron","Gervais","","","",""
2224,"Aaron Hynes","Aaron","Hynes","","","",""
5847,"Abdul Majeed","Abdul","Majeed","","","",""
6962,"Abe Neufeld","Abe","Neufeld","","","",""
1447,"Abeed Monty Ahmad","Abeed Monty","Ahmad","","","",""
4414,"Abu Alam","Abu","Alam","","","",""
5433,"Ace Cetinski","Ace","Cetinski","","","",""
8286,"Ace Cetinski","Ace","Cetinski","","","",""
996,"Adam Campbell","Adam","Campbell","","","",""
3039,"Adam Desaulniers","Adam","Desaulniers","","","",""
5354,"Adam Germain","Adam","Germain","","","",""
6414,"Adam Giambrone","Adam","Giambrone","","","",""
3745,"Adam Greenblatt","Adam","Greenblatt","","","",""
5160,"Adam Hodgins","Adam","Hodgins","","","",""
2441,"Adam Hunter","Adam","Hunter","","","",""
2844,"Adam Jastrzebski","Adam","Jastrzebski","","","",""
2471,"Adam Jobse","Adam","Jobse","","","",""
2308,"Adam King","Adam","King","","","",""
6152,"Adam Mazzara","Adam","Mazzara","","","",""
4322,"Adam Richardson","Adam","Richardson","","","",""
1034,"Adam Saab","Adam","Saab","","","",""
4212,"Adam Sealey","Adam","Sealey","","","",""
2771,"Adam Sommerfeld","Adam","Sommerfeld","","","",""
6263,"Adelard Pitre","Adelard","Pitre","","","",""
1245,"Adele Boucher Rymhs","Adele","Boucher Rymhs","","","",""
6722,"Adele Haines","Adele","Haines","","","",""
5878,"Adele Pereira","Adele","Pereira","","","",""
1332,"Aden Murphy","Aden","Murphy","","","",""
6028,"Adrian Earl Crewson","Adrian Earl","Crewson","","","",""
6659,"Adrian Greenwood","Adrian","Greenwood","","","",""
1353,"Adrian Molder","Adrian","Molder","","","",""
2552,"Adrian Peter Kooger","Adrian Peter","Kooger","","","",""
677,"Adrian Visentin","Adrian","Visentin","","","",""
5573,"Adrian Wade","Adrian","Wade","","","",""
1107,"Adriane Carr","Adriane","Carr","","","",""
7895,"Afsun Qureshi","Afsun","Qureshi","","","",""
654,"Agop Evereklian","Agop","Evereklian","","","",""
6017,"Ahmad Solomah","Ahmad","Solomah","","","",""
2508,"Aiden Wiechula","Aiden","Wiechula","","","",""
2293,"Aileen Carroll","Aileen","Carroll","","F","",""
3053,"Aisha Coghlan","Aisha","Coghlan","","","",""
2601,"Ajay Krishnan","Ajay","Krishnan","","","",""
2402,"Ajmer Mandur","Ajmer","Mandur","","","",""
1680,"Akbar Manoussi","Akbar","Manoussi","","","",""
4616,"Akber Choudhry","Akber","Choudhry","","","",""
4027,"Al Charlebois","Al","Charlebois","","","",""
3864,"Al Ducharme","Al","Ducharme","","","",""
2421,"Al Gretzky","Al","Gretzky","","","",""
1274,"Al Gullon","Al","Gullon","","","",""
2583,"Al Hart","Al","Hart","","","",""
5514,"Al Horning","Al","Horning","","","",""
6827,"Al Huddlestan","Al","Huddlestan","","","",""
6589,"Al Johnson","Al","Johnson","","","",""
8190,"Al Kapty","Al","Kapty","","","",""
8162,"Al Krieger","Al","Krieger","","","",""
6056,"Al Matthews","Al","Matthews","","","",""
7388,"Al Plumb","Al","Plumb","","","",""
2608,"Al Teshuba","Al","Teshuba","","","",""
2724,"Alain Charette","Alain","Charette","","","",""
8279,"Alain Cossette","Alain","Cossette","","","",""
7214,"Alain Doiron","Alain","Doiron","","","",""
2683,"Alain Dubois","Alain","Dubois","","","",""
6384,"Alain Dubois","Alain","Dubois","","","",""
7868,"Alain Gauthier","Alain","Gauthier","","","",""
7888,"Alain Gravel","Alain","Gravel","","","",""
3610,"Alain Guay","Alain","Guay","","","",""
3359,"Alain Lalonde","Alain","Lalonde","","","",""
8057,"Alain Longpré","Alain","Longpré","","","",""
8036,"Alain Perez","Alain","Perez","","","",""
5010,"Alain Ranger","Alain","Ranger","","","",""
2692,"Alain Rioux","Alain","Rioux","","","",""
8307,"Alain Roy","Alain","Roy","","","",""
2487,"Alain Saint-Yves","Alain","Saint-Yves","","","",""
1742,"Alain Senécal","Alain","Senécal","","","",""
8030,"Alain-Édouard Lord","Alain-Édouard","Lord","","","",""
685,"Alamgir Hussain","Alamgir","Hussain","","","",""
7194,"Alan Aston","Alan","Aston","","","",""
738,"Alan Coxwell","Alan","Coxwell","","","",""
7285,"Alan D'Orsay","Alan","D'Orsay","","","",""
4657,"Alan Dayes","Alan","Dayes","","","",""
6067,"Alan Hayes","Alan","Hayes","","","",""
2263,"Alan Hill","Alan","Hill","","","",""
6928,"Alan Imrie","Alan","Imrie","","","",""
6622,"Alan J. Livingston","Alan J.","Livingston","","","",""
7722,"Alan Jones","Alan","Jones","","","",""
6934,"Alan M. Brooke","Alan M.","Brooke","","","",""
5647,"Alan Mackenzie Brooke","Alan Mackenzie","Brooke","","","",""
1696,"Alan Mercer","Alan","Mercer","","","",""
6870,"Alan Phillips","Alan","Phillips","","","",""
7227,"Alan Redway","Alan","Redway","","","",""
3460,"Alan Riddell","Alan","Riddell","","","",""
4780,"Alan Shumak","Alan","Shumak","","","",""
4037,"Alan Thompson","Alan","Thompson","","","",""
6873,"Alan Timberlake","Alan","Timberlake","","","",""
4621,"Alan Ward","Alan","Ward","","","",""
6683,"Alan Y. Tanaka","Alan Y.","Tanaka","","","",""
2905,"Alanna Woods","Alanna","Woods","","","",""
6932,"Alannah New-Small","Alannah","New-Small","","","",""
4605,"Albert Smith","Albert","Smith","","","",""
7421,"Albina Burello","Albina","Burello","","","",""
1694,"Alonzo Bartley","Alonzo","Bartley","","","",""
3902,"Alysia Erickson","Alysia","Erickson","","","",""
3441,"Al McDonald","Al","McDonald","","","",""
4018,"Alan McDonnell","Alan","McDonnell","","","",""
6804,"A.M. Sandy MacDougall","A.M. Sandy","MacDougall","","","",""
2694,"Alcide Boudreault","Alcide","Boudreault","","","",""
7456,"Alcide Hamelin","Alcide","Hamelin","","","",""
4290,"Alcide Leger","Alcide","Leger","","","",""
5188,"Aldéi Beaudoin","Aldéi","Beaudoin","","","",""
6522,"Alene L. Tanner","Alene L.","Tanner","","","",""
5143,"Amir Khadir","Amir","Khadir","","","",""
2028,"Alex Bracewell","Alex","Bracewell","","","",""
3365,"Alex Drossos","Alex","Drossos","","","",""
7364,"Alex E. Gubbels","Alex E.","Gubbels","","","",""
8018,"Alex En Hwa Ng","Alex En Hwa","Ng","","","",""
5131,"Alex Gabanski","Alex","Gabanski","","","",""
1525,"Alex Joehl","Alex","Joehl","","","",""
6594,"Alex Kindy","Alex","Kindy","","","",""
1616,"Alex Kovalenko","Alex","Kovalenko","","","",""
1673,"Alex Kreider","Alex","Kreider","","","",""
5570,"Alex Michalos","Alex","Michalos","","","",""
7293,"Alex Michalos","Alex","Michalos","","","",""
8267,"Alex Neron","Alex","Neron","","","",""
3825,"Alex Neron","Alex","Neron","","","",""
6886,"Alex Phillips","Alex","Phillips","","","",""
6717,"Alex S. Mann","Alex S.","Mann","","","",""
4191,"Alex Turner","Alex","Turner","","","",""
3321,"Alex W. Gryc","Alex W.","Gryc","","","",""
6700,"Alex Ziniewicz","Alex","Ziniewicz","","","",""
3142,"Alexander Frei","Alexander","Frei","","","",""
4404,"Alexander Jablanczy","Alexander","Jablanczy","","","",""
6044,"Alexander Rados","Alexander","Rados","","","",""
7963,"Alexander Shiroka","Alexander","Shiroka","","","",""
2355,"Alexander T. Bussmann","Alexander T.","Bussmann","","","",""
934,"Alexandra Bélec","Alexandra","Bélec","","","",""
6337,"Alexandra Philoctéte","Alexandra","Philoctéte","","","",""
8208,"Alexandre Amirizian","Alexandre","Amirizian","","","",""
2243,"Alexandre Beaudin","Alexandre","Beaudin","","","",""
3738,"Alexandre Côté","Alexandre","Côté","","","",""
5272,"Alexandre Deschênes","Alexandre","Deschênes","","","",""
2807,"Alexandre Lambert","Alexandre","Lambert","","","",""
2492,"Alexandre Legeais","Alexandre","Legeais","","","",""
2840,"Alexandre Raymond-Labrie","Alexandre","Raymond-Labrie","","","",""
1112,"Alexandre Salameh","Alexandre","Salameh","","","",""
951,"Alf Kiers","Alf","Kiers","","","",""
2027,"Alfred Julian Trudeau","Alfred Julian","Trudeau","","","",""
5909,"Alfred Kiers","Alfred","Kiers","","","",""
7596,"Alfred Morton","Alfred","Morton","","","",""
7385,"Alfredo Marroquin","Alfredo","Marroquin","","","",""
4766,"Ali Mallah","Ali","Mallah","","","",""
834,"Ali Naqvi","Ali","Naqvi","","","",""
1803,"Alia Haddad","Alia","Haddad","","","",""
809,"Alice Brown","Alice","Brown","","","",""
5332,"Alice Farness","Alice","Farness","","","",""
1160,"Alice Finnamore","Alice","Finnamore","","","",""
6848,"Alice Klim","Alice","Klim","","","",""
5914,"Alida Leistra","Alida","Leistra","","","",""
647,"Alina Abbott","Alina","Abbott","","","",""
6498,"Aline Aubut","Aline","Aubut","","","",""
6765,"Alisen Oliver","Alisen","Oliver","","","",""
6995,"Alison Anderson","Alison","Anderson","","","",""
3450,"Alison Myrden","Alison","Myrden","","","",""
1256,"Alison Ménard","Alison","Ménard","","","",""
4157,"Alistair Johnston","Alistair","Johnston","","","",""
5652,"Allan Bezanson","Allan","Bezanson","","","",""
2477,"Allan Cutler","Allan","Cutler","","","",""
4296,"Allan D. Neill","Allan D.","Neill","","","",""
7337,"Allan Dettweiler","Allan","Dettweiler","","","",""
4866,"Allan Douglas Strong","Allan Douglas","Strong","","","",""
8039,"Allan Faguy","Allan","Faguy","","","",""
4309,"Allan Goodfellow","Allan","Goodfellow","","","",""
2251,"Allan H. Bezanson","Allan H.","Bezanson","","","",""
6679,"Allan Hunt","Allan","Hunt","","","",""
3416,"Allan James","Allan","James","","","",""
7847,"Allan Koury","Allan","Koury","","","",""
6224,"Allan Lonn","Allan","Lonn","","","",""
856,"Allan Richard Murphy","Allan Richard","Murphy","","","",""
3952,"Allan Ryan","Allan","Ryan","","","",""
3119,"Allan Warnke","Allan","Warnke","","","",""
5295,"Allen Faguy","Allen","Faguy","","","",""
5608,"Allen Gray","Allen","Gray","","","",""
1414,"Allen Small","Allen","Small","","","",""
4441,"Allen Wilford","Allen","Wilford","","","",""
6464,"Allison Engel","Allison","Engel","","","",""
3189,"Allister Cucksey","Allister","Cucksey","","","",""
2935,"Allyce Herle","Allyce","Herle","","","",""
3824,"Almaz Aladass","Almaz","Aladass","","","",""
3206,"Alon Weinberg","Alon","Weinberg","","","",""
1033,"Andy Arifin","Andy","Arifin","","","",""
2808,"Allen F. MacKenzie","Allen F.","MacKenzie","","","",""
192,"Alexa McDonough","Alexa","McDonough","1944-08-11","F","polpics/192.jpg",""
4478,"Alex Shepherd","Alex","Shepherd","","M","polpics/4478.jpg",""
2248,"Alexis MacDonald","Alexis","MacDonald","","","",""
1678,"Alex McDonald","Alex","McDonald","","","",""
4814,"Alex McGregor","Alex","McGregor","","","",""
4355,"Alfie MacLeod","Alfie","MacLeod","","","",""
1128,"Allan McKeown","Allan","McKeown","","","",""
1067,"Amanda Judith Marie Smytaniuk","Amanda Judith Marie","Smytaniuk","","","",""
2922,"Amanda Knorr","Amanda","Knorr","","","",""
1645,"Amanda Lamka","Amanda","Lamka","","","",""
1468,"Amanda Swagar","Amanda","Swagar","","","",""
2234,"Amanda Will","Amanda","Will","","","",""
2353,"Amanjit Singh Khroad","Amanjit Singh","Khroad","","","",""
4902,"Amarjit Dhillon","Amarjit","Dhillon","","","",""
1959,"Amarjit Grewal","Amarjit","Grewal","","","",""
1228,"Amber Jones","Amber","Jones","","","",""
1490,"Amber Van Drielen","Amber","Van Drielen","","","",""
4833,"Ambrose Raftis","Ambrose","Raftis","","","",""
4367,"Amery Boyer","Amery","Boyer","","","",""
8061,"Amin Hachem","Amin","Hachem","","","",""
1168,"Amy Collard","Amy","Collard","","","",""
1165,"Amy Darwish","Amy","Darwish","","","",""
1679,"Amy O'Dell","Amy","O'Dell","","","",""
4506,"Ana Maria Sapp","Ana Maria","Sapp","","","",""
4759,"Andre C. Vachon","Andre C.","Vachon","","","",""
970,"Andre Papadimitriou","Andre","Papadimitriou","","","",""
4069,"Andrea Dunlop","Andrea","Dunlop","","","",""
5391,"Andrea Garnier","Andrea","Garnier","","","",""
3166,"Andrea Goldsmith","Andrea","Goldsmith","","","",""
5952,"Andrea Horwath","Andrea","Horwath","","","",""
813,"Andrea Matrosovs","Andrea","Matrosovs","","","",""
1370,"Andrea Moffat","Andrea","Moffat","","","",""
845,"Andrea Paine","Andrea","Paine","","","",""
5726,"Andrea Rolstone","Andrea","Rolstone","","","",""
1980,"Andrea Sheridan","Andrea","Sheridan","","","",""
5362,"Andrea Welling","Andrea","Welling","","","",""
3105,"Andres Esteban Barker","Andres Esteban","Barker","","","",""
3172,"Andrew Basham","Andrew","Basham","","","",""
1013,"Andrew Borkowski","Andrew","Borkowski","","","",""
2546,"Andrew Brett","Andrew","Brett","","","",""
2545,"Andrew C. Thomas","Andrew C.","Thomas","","","",""
910,"Andrew Claxton","Andrew","Claxton","","","",""
3213,"Andrew Dalgliesh","Andrew","Dalgliesh","","","",""
6065,"Andrew Davies","Andrew","Davies","","","",""
3507,"Andrew Faust","Andrew","Faust","","","",""
1185,"Andrew Graham","Andrew","Graham","","","",""
2261,"Andrew House","Andrew","House","","","",""
886,"Andrew House","Andrew","House","","","",""
2631,"Andrew J. Chisholm","Andrew J.","Chisholm","","","",""
8145,"Andrew Jackson","Andrew","Jackson","","","",""
1285,"Andrew James","Andrew","James","","","",""
6217,"Andrew James","Andrew","James","","","",""
4429,"Andrew K. Roy","Andrew K.","Roy","","","",""
1273,"Andrew Lang","Andrew","Lang","","","",""
1518,"Andrew Lewis","Andrew","Lewis","","","",""
2937,"Andrew Mason","Andrew","Mason","","","",""
1670,"Andrew Moulden","Andrew","Moulden","","","",""
3938,"Andrew Pickles","Andrew","Pickles","","","",""
4800,"Andrew Potter","Andrew","Potter","","","",""
4613,"Andrew Sadler","Andrew","Sadler","","","",""
3419,"Andrew Seitz","Andrew","Seitz","","","",""
4063,"Andrew Shadrack","Andrew","Shadrack","","","",""
2532,"Andrew Strachan","Andrew","Strachan","","","",""
7300,"Andrew Tait","Andrew","Tait","","","",""
7436,"Andrew Van Iterson","Andrew","Van Iterson","","","",""
3545,"Andrew Van Oosten","Andrew","Van Oosten","","","",""
6270,"Andrew Wells","Andrew","Wells","","","",""
1562,"André Arpin","André","Arpin","","","",""
842,"André Bachand","André","Bachand","","M","",""
7975,"André Beaudoin","André","Beaudoin","","","",""
5015,"André Béliveau","André","Béliveau","","","",""
3779,"André Cardinal","André","Cardinal","","","",""
5753,"André Carrier","André","Carrier","","","",""
1754,"André Chauvette","André","Chauvette","","","",""
3797,"André Clermont","André","Clermont","","","",""
5104,"André Cloutier","André","Cloutier","","","",""
1747,"André Côté","André","Côté","","","",""
6461,"André Davignon","André","Davignon","","","",""
7816,"André De Billy","André","De Billy","","","",""
7822,"André Desgagnés","André","Desgagnés","","","",""
3760,"André Frappier","André","Frappier","","","",""
5089,"André G. Plourde","André G.","Plourde","","","",""
4752,"André Giordano","André","Giordano","","","",""
2693,"André Harvey","André","Harvey","","M","",""
1768,"André Komlosy","André","Komlosy","","","",""
3686,"André Langevin","André","Langevin","","","",""
4974,"André Leroux","André","Leroux","","","",""
3687,"André Levert","André","Levert","","","",""
6401,"André Maltais","André","Maltais","","","",""
8104,"André Martin","André","Martin","","","",""
5054,"André Paquet","André","Paquet","","","",""
3762,"André Parizeau","André","Parizeau","","","",""
6363,"André Plourde","André","Plourde","","","",""
8014,"André Reid","André","Reid","","","",""
1198,"André Robert","André","Robert","","","",""
1364,"André Sylvestre","André","Sylvestre","","","",""
1854,"André Turgeon","André","Turgeon","","","",""
1452,"André Vachon","André","Vachon","","","",""
7923,"André-Pierre Robitaille","André-Pierre","Robitaille","","","",""
3814,"Andrée Champagne","Andrée","Champagne","","","",""
1620,"Andrew McKeever","Andrew","McKeever","","","",""
280,"Andrew Telegdi","Andrew","Telegdi","1946-05-28","M","polpics/280.jpg",""
7859,"André Caron","André","Caron","","M","polpics/7859.jpg",""
7971,"André Ouellet","André","Ouellet","","M","polpics/7971.jpg",""
399,"André Arthur","André","Arthur","1943-12-21","M","polpics/399.jpg","andre-arthur"
1260,"David Purdy","David","Purdy","","","",""
7316,"Andrew MacKenzie","Andrew","MacKenzie","","","",""
7642,"Andy Boyle","Andy","Boyle","","","",""
912,"Andy Bruziewicz","Andy","Bruziewicz","","","",""
3121,"Andy Burton","Andy","Burton","","M","",""
3212,"Andy Caisse","Andy","Caisse","","","",""
5583,"Andy Guest","Andy","Guest","","","",""
2372,"Andy Harjula","Andy","Harjula","","","",""
1971,"Andy Hladyshevsky","Andy","Hladyshevsky","","","",""
4002,"Andy Jones","Andy","Jones","","","",""
2502,"Andy Mitchell","Andy","Mitchell","","M","",""
1072,"Andy Morel","Andy","Morel","","","",""
2219,"Andy Savoy","Andy","Savoy","","M","",""
5661,"Andy Shadrack","Andy","Shadrack","","","",""
7379,"Andy Sweck","Andy","Sweck","","","",""
2054,"Angel Claypool","Angel","Claypool","","","",""
6173,"Angela M. Braun","Angela M.","Braun","","","",""
1335,"Angela Reid","Angela","Reid","","","",""
3317,"Angela Reid","Angela","Reid","","","",""
3217,"Angela Vautour","Angela","Vautour","","F","",""
2721,"Angelo M. Marino","Angelo M.","Marino","","","",""
6171,"Angie Tomasic","Angie","Tomasic","","","",""
8046,"Angéline Fournier","Angéline","Fournier","","","",""
3717,"Anicet Gagné","Anicet","Gagné","","","",""
6355,"Anie Perrault","Anie","Perrault","","","",""
5262,"Anik-Maude Morin","Anik-Maude","Morin","","","",""
1188,"Anita Agrawal","Anita","Agrawal","","","",""
6623,"Anita Ashmore","Anita","Ashmore","","","",""
8132,"Anita Bergman","Anita","Bergman","","","",""
2924,"Anita Jackson","Anita","Jackson","","","",""
4784,"Ann Billings","Ann","Billings","","","",""
1095,"Ann Chambers","Ann","Chambers","","","",""
8037,"Ann Elbourne","Ann","Elbourne","","","",""
4462,"Ann Emmett","Ann","Emmett","","","",""
3624,"Ann Julie Fortier","Ann Julie","Fortier","","","",""
7618,"Ann Marie Tomlins","Ann Marie","Tomlins","","","",""
5868,"Ann Marsden","Ann","Marsden","","","",""
7464,"Ann Mulvale","Ann","Mulvale","","","",""
4419,"Ann Nicholson","Ann","Nicholson","","","",""
7481,"Ann-Marie Methot","Ann-Marie","Methot","","","",""
4393,"Anna Curtis-Steele","Anna","Curtis-Steele","","","",""
7299,"Anna Di Carlo","Anna","Di Carlo","","","",""
1626,"Anna Di Carlo","Anna","Di Carlo","","","",""
4898,"Anna Dicarlo","Anna","Dicarlo","","","",""
2196,"Anna Girouard","Anna","Girouard","","","",""
2304,"Anna Mather","Anna","Mather","","","",""
7002,"Anna Polonyi","Anna","Polonyi","","","",""
5521,"Anna Rowe","Anna","Rowe","","","",""
5621,"Anna Terrana","Anna","Terrana","","F","",""
2177,"Anna-Celestrya Carr","Anna-Celestrya","Carr","","","",""
7664,"Anne Bélanger","Anne","Bélanger","","","",""
1532,"Anne Jamieson","Anne","Jamieson","","","",""
870,"Anne Lagacé Dowson","Anne","Lagacé Dowson","","","",""
6040,"Anne Larrass","Anne","Larrass","","","",""
2711,"Anne Levesque","Anne","Levesque","","","",""
1883,"Anne Marie Aubert","Anne Marie","Aubert","","","",""
3378,"Anne Marie Pavlov","Anne Marie","Pavlov","","","",""
