"sum","parliament_number","pid","mid"
"55",36,6037,2601
"75",35,2993,3061
"138",37,4835,2639
"140",36,5558,3094
"149",40,183,490
"198",38,20,1349
"227",35,6037,3240
"264",36,203,3187
"285",36,5412,3062
"287",38,3229,1624
"318",40,399,320
"398",35,8060,3318
"640",38,277,1267
"860",38,238,3672
"877",38,3132,1290
"877",37,3845,2729
"886",37,5282,1828
"922",37,4332,3133
"1350",36,3820,2720
"1420",37,3532,1731
"1424",38,176,3250
"1483",38,395,1543
"1530",38,3425,1392
"1591",38,127,1389
"1954",35,4671,3207
"2036",37,2728,3655
"2316",38,70,1735
"2319",40,8361,4031
"2330",40,77,1268
"2439",39,548,686
"2448",36,4671,3207
"2491",38,3097,1280
"2495",38,308,1320
"2589",37,4957,2665
"2641",38,61,1369
"2721",40,174,1286
"2774",38,190,1327
"2818",36,4957,2665
"2864",35,6989,3113
"2880",36,4339,3682
"3024",39,183,490
"3200",37,4646,3201
"3228",36,70,3234
"3240",37,35,1700
"3264",35,5831,3150
"3324",36,35,3202
"3485",38,27,1438
"3615",35,150,3225
"3655",37,4255,2513
"3784",38,83,1482
"3835",37,127,3197
"3939",37,6106,2616
"3964",38,232,1506
"3980",37,4671,3207
"4012",37,2584,3237
"4055",38,226,1811
"4063",35,50,3681
"4157",36,5282,2731
"4206",38,50,3681
"4212",38,2522,3220
"4275",38,3355,3174
"4400",35,4339,3682
"4541",37,4655,3203
"4604",37,3363,1656
"4654",37,219,3654
"4729",38,3383,3180
"4824",36,20,2556
"5020",38,2399,1380
"5095",36,62,3097
"5096",41,8379,4038
"5134",37,697,3640
"5143",38,194,3251
"5214",36,238,3672
"5222",37,5177,1807
"5352",38,35,1700
"5390",38,224,3303
"5397",35,140,3127
"5518",35,7776,3258
"5740",37,5161,3304
"5823",36,150,3225
"5888",35,4655,3203
"5938",38,259,2524
"5979",36,4830,2638
"5993",36,106,2592
"6036",38,2993,1247
"6066",37,264,3650
"6118",36,72,3673
"6189",37,3925,1549
"6240",36,4835,2639
"6568",38,62,1285
"6631",35,4646,3201
"6680",38,47,2607
"6689",38,2293,1346
"6752",36,6313,3268
"6906",37,3229,1624
"6913",36,260,3671
"6917",38,53,3677
"6938",41,217,528
"6953",38,2829,1502
"7090",41,245,552
"7153",39,549,722
"7245",38,56,1455
"7308",35,8034,3314
